JAHR_STA	KANTON	B003_GESCHLECHT_KBEZ	age_group	JAHRESFRANCHISE_E	JAHRESFRANCHISE_K	ANZAHL_VERS_MONATE	ANZAHL_VERS
2020	AG	w	26-35	300	0	6690.508204839006	640.3928964361548
2020	AG	w	26-35	500	0	975.0297518055886	93.82586856326088
2020	AG	w	26-35	1000	0	728.6637831833214	71.52378336479887
2020	AG	w	26-35	1500	400	1019.723698137328	96.66236053779721
2020	AG	w	26-35	2000	0	532.3950196679682	53.93979787314311
2020	AG	w	26-35	2500	600	7162.2544930353015	713.4539597551338
2020	AG	w	26-35	300	0	7301.618659921661	669.3208777378313
2020	AG	w	26-35	500	0	1368.3790143863857	138.61655575875193
2020	AG	w	26-35	1000	0	1222.0499727728964	107.85308319190517
2020	AG	w	26-35	1500	400	1555.4444302361458	144.84700519312173
2020	AG	w	26-35	2000	0	699.8379403384774	68.75865381862968
2020	AG	w	26-35	2500	600	7916.488463683799	752.4244856233709
2020	AG	w	36-45	300	0	7846.558164379895	709.0550735723227
2020	AG	w	36-45	500	0	2322.923180584833	203.09567557368428
2020	AG	w	36-45	1000	0	1194.9110850532352	103.87225347803906
2020	AG	w	36-45	1500	400	1853.2462949483843	164.0486421044916
2020	AG	w	36-45	2000	0	1284.945003911257	110.42902898415923
2020	AG	w	36-45	2500	600	6285.80581659995	574.2763361260295
2020	AG	w	36-45	300	0	6439.913437339664	552.7858440214768
2020	AG	w	36-45	500	0	2366.099571593106	207.1248138928786
2020	AG	w	36-45	1000	0	1012.0209822893144	93.521517038811
2020	AG	w	36-45	1500	400	1728.8674387348444	151.02140236180276
2020	AG	w	36-45	2000	0	1088.3879446592182	96.2599475486204
2020	AG	w	36-45	2500	600	4901.253854494393	431.83810997614637
2020	AG	w	46-55	300	0	6846.613471156806	589.3425398874097
2020	AG	w	46-55	500	0	2719.7243551822007	233.24500758945942
2020	AG	w	46-55	1000	0	1051.4920709104836	89.09726601233706
2020	AG	w	46-55	1500	400	1796.539284992069	159.01892498601228
2020	AG	w	46-55	2000	0	1002.4749590344727	83.39568114327267
2020	AG	w	46-55	2500	600	3590.9453157856315	325.1541735557839
2020	AG	w	46-55	300	0	8534.212001087517	741.6759456451982
2020	AG	w	46-55	500	0	3017.620064675808	263.6908229761757
2020	AG	w	46-55	1000	0	1263.292367433831	105.93323913915083
2020	AG	w	46-55	1500	400	1832.7330546155572	159.46836646134034
2020	AG	w	46-55	2000	0	936.2202938883006	80.93237974168733
2020	AG	w	46-55	2500	600	3743.0213913414627	327.6801629336551
2020	AG	w	56-65	300	0	8863.969439089298	755.4217092213221
2020	AG	w	56-65	500	0	3023.0468561294674	256.77444906905293
2020	AG	w	56-65	1000	0	1085.3905027633905	97.99244730127975
2020	AG	w	56-65	1500	400	1353.9102804652603	116.87757835304365
2020	AG	w	56-65	2000	0	786.9143795978277	69.38610852044076
2020	AG	w	56-65	2500	600	2844.774716546908	253.2076532524079
2020	AG	w	56-65	300	0	8604.587659302204	733.9173562037759
2020	AG	w	56-65	500	0	2146.1971945713462	186.7814379450865
2020	AG	w	56-65	1000	0	792.7665013917535	63.87287305248901
2020	AG	w	56-65	1500	400	990.6264511924237	86.9400820825249
2020	AG	w	56-65	2000	0	532.96490877866745	46.19692013040185
2020	AG	w	56-65	2500	600	1730.1213495815546	156.45889071468264
2020	AG	w	66-75	300	0	7266.61309921369	616.7390828565694
2020	AG	w	66-75	500	0	2097.7344074901193	181.51564394775778
2020	AG	w	66-75	1000	0	516.9120120609551	43.54521033447236
2020	AG	w	66-75	1500	400	515.038918916136	48.69243916682899
2020	AG	w	66-75	2000	0	237.57522304728627	NA
2020	AG	w	66-75	2500	600	906.4474752608687	74.32005999330431
2020	AG	w	66-75	300	0	6719.9623624219	571.5571231837384
2020	AG	w	66-75	500	0	1587.607880057767	130.50694871181622
2020	AG	w	66-75	1000	0	395.69287515059114	NA
2020	AG	w	66-75	1500	400	438.6692920449376	42.09585236385465
2020	AG	w	66-75	2000	0	142.5175883769989	NA
2020	AG	w	66-75	2500	600	472.2269439186156	42.226629415061325
2020	AG	w	76-	300	0	5495.0521986538915	463.4771993062459
2020	AG	w	76-	500	0	1159.2099319089948	95.40733986068517
2020	AG	w	76-	1000	0	253.717491209507	NA
2020	AG	w	76-	1500	400	145.70348446443677	NA
2020	AG	w	76-	2000	0	101.51238454319537	NA
2020	AG	w	76-	2500	600	203.0540970955789	NA
2020	AG	w	76-	300	0	7108.392912041321	623.2024397850037
2020	AG	w	76-	500	0	841.1975261435658	70.70599545678124
2020	AG	w	76-	1000	0	73.98448941320181	NA
2020	AG	w	76-	1500	400	134.77652619592845	NA
2020	AG	w	76-	2000	0	25.620765432715416	NA
2020	AG	w	76-	2500	600	140.89422895386815	NA
2020	AG	w	76-	300	0	1503.4830286372453	149.98948249500245
2020	AG	w	76-	500	0	257.77042216554287	NA
2020	AG	w	76-	1000	0	73.73247237503529	NA
2020	AG	w	76-	1500	400	48.75173252262175	NA
2020	AG	w	76-	2500	600	12.554618943482637	NA
2020	AI	m	0-18	0	200	19.083675127476454	NA
2020	AI	m	0-18	300	0	5425.176395511553	484.34918382111937
2020	AI	m	0-18	1500	400	37.14801841042936	NA
2020	AI	m	0-18	2500	600	103.01326969079673	NA
2020	AI	m	19-25	300	0	857.8822921986133	86.91089426213875
2020	AI	m	19-25	500	0	52.142836881801486	NA
2020	AI	m	19-25	1000	0	95.764288280159235	NA
2020	AI	m	19-25	1500	400	298.22210573218763	NA
2020	AI	m	19-25	2000	0	221.00632214173675	NA
2020	AI	m	19-25	2500	600	1082.9372059001773	98.51903649047017
2020	AI	m	26-35	300	0	537.343569117561	44.571505217812955
2020	AI	m	26-35	500	0	65.78254909440875	NA
2020	AI	m	26-35	1000	0	173.58633651584387	NA
2020	AI	m	26-35	1500	400	387.9715947508812	NA
2020	AI	m	26-35	2000	0	185.5971291810274	NA
2020	AI	m	26-35	2500	600	1308.686125800237	114.6980565758422
2020	AI	m	26-35	300	0	497.19763530418277	44.832356232218444
2020	AI	m	26-35	500	0	15.974202638491988	NA
2020	AI	m	26-35	1000	0	115.35063468106091	NA
2020	AI	m	26-35	1500	400	289.8788932505995	NA
2020	AI	m	26-35	2000	0	323.71720635704696	NA
2020	AI	m	26-35	2500	600	1014.516168783158	89.18481057183817
2020	AI	m	36-45	300	0	446.7643613095581	42.27067341655493
2020	AI	m	36-45	500	0	130.6602265946567	NA
2020	AI	m	36-45	1000	0	139.6191035026312	NA
2020	AI	m	36-45	1500	400	339.4476339574903	NA
2020	AI	m	36-45	2000	0	471.81558976881206	44.553667943459004
2020	AI	m	36-45	2500	600	811.535442545712	76.55847231997177
2020	AI	m	36-45	300	0	298.1066889577359	NA
2020	AI	m	36-45	500	0	42.23976127803326	NA
2020	AI	m	36-45	1000	0	128.09106627479196	NA
2020	AI	m	36-45	1500	400	307.6363335672766	NA
2020	AI	m	36-45	2000	0	304.7055983506143	NA
2020	AI	m	36-45	2500	600	699.5624589402973	60.17317922692746
2020	AI	m	46-55	300	0	485.0447629187256	NA
2020	AI	m	46-55	500	0	113.29459807276726	NA
2020	AI	m	46-55	1000	0	96.14405733346939	NA
2020	AI	m	46-55	1500	400	470.94306015037	42.35186402499676
2020	AI	m	46-55	2000	0	346.5129959732294	NA
2020	AI	m	46-55	2500	600	744.2152750617265	68.83885647542775
2020	AI	m	46-55	300	0	627.458259139806	51.811574331019074
2020	AI	m	46-55	500	0	113.1408368088305	NA
2020	AI	m	46-55	1000	0	225.66139348223805	NA
2020	AI	m	46-55	1500	400	357.51602323539555	NA
2020	AI	m	46-55	2000	0	271.39708047918975	NA
2020	AI	m	46-55	2500	600	783.1543593425304	70.19409214146435
2020	AI	m	56-65	300	0	863.0778803126514	79.32510648621246
2020	AI	m	56-65	500	0	180.02112249098718	NA
2020	AI	m	56-65	1000	0	121.09709979593754	NA
2020	AI	m	56-65	1500	400	436.2171311471611	NA
2020	AI	m	56-65	2000	0	309.5458588209003	NA
2020	AI	m	56-65	2500	600	606.1762871202081	52.47020270070061
2020	AI	m	56-65	300	0	1114.0502168759704	92.7936663851142
2020	AI	m	56-65	500	0	391.1336406748742	NA
2020	AI	m	56-65	1000	0	146.49154716543853	NA
2020	AI	m	56-65	1500	400	228.36413921043277	NA
2020	AI	m	56-65	2000	0	105.56775021739304	NA
2020	AI	m	56-65	2500	600	440.9869782924652	NA
2020	AI	m	66-75	300	0	1004.0701767995954	87.25507638184354
2020	AI	m	66-75	500	0	220.16065155372024	NA
2020	AI	m	66-75	1000	0	101.16343058086932	NA
2020	AI	m	66-75	1500	400	107.43303910829127	NA
2020	AI	m	66-75	2000	0	123.29568017832935	NA
2020	AI	m	66-75	2500	600	207.23703388497233	NA
2020	AI	m	66-75	300	0	864.2760547623038	74.85712891165167
2020	AI	m	66-75	500	0	243.758514239043	NA
2020	AI	m	66-75	1000	0	101.77115996740758	NA
2020	AI	m	66-75	1500	400	66.72210405953228	NA
2020	AI	m	66-75	2000	0	-1.8897728808224201	NA
2020	AI	m	66-75	2500	600	117.07616630382836	NA
2020	AI	m	76-	300	0	520.7641419053823	43.77514649601653
2020	AI	m	76-	500	0	128.12688254378736	NA
2020	AI	m	76-	1000	0	53.85912617482245	NA
2020	AI	m	76-	1500	400	16.32368730381131	NA
2020	AI	m	76-	2000	0	11.406928695738316	NA
2020	AI	m	76-	2500	600	53.923063930124044	NA
2020	AI	m	76-	300	0	749.8201682929695	68.15851585008204
2020	AI	m	76-	500	0	69.33084986925125	NA
2020	AI	m	76-	1000	0	-0.8867212571203709	NA
2020	AI	m	76-	1500	400	67.4718565363437	NA
2020	AI	m	76-	2000	0	58.247451365962625	NA
2020	AI	m	76-	2500	600	-1.6612690910696983	NA
2020	AI	m	76-	300	0	88.30894951663912	NA
2020	AI	m	76-	1000	0	22.544405138120055	NA
2020	AI	w	0-18	0	200	24.456187264993787	NA
2020	AI	w	0-18	300	0	5679.614225814268	497.95376693923026
2020	AI	w	0-18	1500	400	38.24146851338446	NA
2020	AI	w	0-18	2500	600	127.03635202161968	NA
2020	AI	w	19-25	300	0	691.8869881623983	66.63046884117648
2020	AI	w	19-25	500	0	26.18114189989865	NA
2020	AI	w	19-25	1000	0	128.40124017365278	NA
2020	AI	w	19-25	1500	400	261.3410723619163	NA
2020	AI	w	19-25	2000	0	200.87344053201377	NA
2020	AI	w	19-25	2500	600	1142.0960694912822	102.84936784254387
2020	AI	w	26-35	300	0	720.6324118635058	64.32151319179684
2020	AI	w	26-35	500	0	108.88175537250936	NA
2020	AI	w	26-35	1000	0	128.54403892591597	NA
2020	AI	w	26-35	1500	400	255.86290460079908	NA
2020	AI	w	26-35	2000	0	228.67231060005724	NA
2020	AI	w	26-35	2500	600	873.6677353791893	75.09067850327119
2020	AI	w	26-35	300	0	519.176642524749	49.02058793185279
2020	AI	w	26-35	500	0	88.00671845860779	NA
2020	AI	w	26-35	1000	0	133.81953077577055	NA
2020	AI	w	26-35	1500	400	320.1720654591918	NA
2020	AI	w	26-35	2000	0	184.06094257622956	NA
2020	AI	w	26-35	2500	600	757.5520195776969	74.49010274419561
2020	AI	w	36-45	300	0	510.6357083223015	44.22678255615756
2020	AI	w	36-45	500	0	195.4607012849301	NA
2020	AI	w	36-45	1000	0	153.63938537053764	NA
2020	AI	w	36-45	1500	400	458.5930482728034	NA
2020	AI	w	36-45	2000	0	309.3046641703695	NA
2020	AI	w	36-45	2500	600	655.1970327837765	62.8544646743685
2020	AI	w	36-45	300	0	380.7345311679691	NA
2020	AI	w	36-45	500	0	132.11197744309902	NA
2020	AI	w	36-45	1000	0	76.06873545236886	NA
2020	AI	w	36-45	1500	400	245.5031244419515	NA
2020	AI	w	36-45	2000	0	193.56327286362648	NA
2020	AI	w	36-45	2500	600	454.1805341672152	NA
2020	AI	w	46-55	300	0	971.6437062006444	79.01872555492446
2020	AI	w	46-55	500	0	209.9040914773941	NA
2020	AI	w	46-55	1000	0	145.49479549005628	NA
2020	AI	w	46-55	1500	400	411.82736357674	NA
2020	AI	w	46-55	2000	0	231.9201962146908	NA
2020	AI	w	46-55	2500	600	660.636207645759	57.23466648347676
2020	AI	w	46-55	300	0	883.2339882403612	72.14405247475952
2020	AI	w	46-55	500	0	299.6242319010198	NA
2020	AI	w	46-55	1000	0	114.23000181876122	NA
2020	AI	w	46-55	1500	400	430.3343680445105	NA
2020	AI	w	46-55	2000	0	160.87555978819728	NA
2020	AI	w	46-55	2500	600	601.0434192027897	50.152682390064
2020	AI	w	56-65	300	0	990.5567952636629	82.163476111833
2020	AI	w	56-65	500	0	335.8764222096652	NA
2020	AI	w	56-65	1000	0	213.70496882312	NA
2020	AI	w	56-65	1500	400	309.2272105310112	NA
2020	AI	w	56-65	2000	0	286.98425657115877	NA
2020	AI	w	56-65	2500	600	511.59574048779905	45.0779506075196
2020	AI	w	56-65	300	0	980.0064495000988	84.23195342626423
2020	AI	w	56-65	500	0	304.7027641851455	NA
2020	AI	w	56-65	1000	0	70.62521250545979	NA
2020	AI	w	56-65	1500	400	111.08265875838697	NA
2020	AI	w	56-65	2000	0	173.74975017882883	NA
2020	AI	w	56-65	2500	600	413.2215119674802	NA
2020	AI	w	66-75	300	0	910.4858193434775	72.55263285059482
2020	AI	w	66-75	500	0	148.87692608870566	NA
2020	AI	w	66-75	1000	0	154.0255530886352	NA
2020	AI	w	66-75	1500	400	147.1417067348957	NA
2020	AI	w	66-75	2000	0	21.137490067631006	NA
2020	AI	w	66-75	2500	600	124.1553691457957	NA
2020	AI	w	66-75	300	0	819.9378384427727	73.622108314652
2020	AI	w	66-75	500	0	113.35453638620675	NA
2020	AI	w	66-75	1000	0	73.27926309965551	NA
2020	AI	w	66-75	1500	400	36.588950062170625	NA
2020	AI	w	66-75	2000	0	15.107811139896512	NA
2020	AI	w	66-75	2500	600	70.20744873583317	NA
2020	AI	w	76-	300	0	715.8982244376093	57.45285907946527
2020	AI	w	76-	500	0	153.16890373639762	NA
2020	AI	w	76-	1000	0	67.80972298420966	NA
2020	AI	w	76-	1500	400	-2.1721008997410536	NA
2020	AI	w	76-	2500	600	50.929455399513245	NA
2020	AI	w	76-	300	0	1007.966481890902	86.96667274367064
2020	AI	w	76-	500	0	55.913923563435674	NA
2020	AI	w	76-	1000	0	13.435994524508715	NA
2020	AI	w	76-	1500	400	21.366523342207074	NA
2020	AI	w	76-	2500	600	3.5222990690171727	NA
2020	AI	w	76-	300	0	193.7558543845266	NA
2020	AI	w	76-	500	0	29.80987285286188	NA
2020	AR	m	0-18	0	200	78.08356364823878	NA
2020	AR	m	0-18	300	0	20103.96269772656	1773.2663967069238
2020	AR	m	0-18	1500	400	64.37491823509336	NA
2020	AR	m	0-18	2500	600	185.81440355405212	NA
2020	AR	m	19-25	300	0	3716.152711238936	356.01044198451564
2020	AR	m	19-25	500	0	161.76003851369023	NA
2020	AR	m	19-25	1000	0	328.18137683562935	NA
2020	AR	m	19-25	1500	400	753.6879092534632	74.40628540562466
2020	AR	m	19-25	2000	0	556.9870282358676	52.308932883664966
2020	AR	m	19-25	2500	600	2759.3518094480037	272.7207804583013
2020	AR	m	26-35	300	0	2656.791544525996	240.75671820063144
2020	AR	m	26-35	500	0	169.5123396664858	NA
2020	AR	m	26-35	1000	0	397.93047568947077	NA
2020	AR	m	26-35	1500	400	644.2291143257171	63.26679499307647
2020	AR	m	26-35	2000	0	473.6515494659543	46.15288185607642
2020	AR	m	26-35	2500	600	2944.5223666287957	273.76038076356053
2020	AR	m	26-35	300	0	1915.3398976203055	179.06680841976777
2020	AR	m	26-35	500	0	268.0112698767334	NA
2020	AR	m	26-35	1000	0	314.6971091579646	NA
2020	AR	m	26-35	1500	400	783.3995730043948	74.86373179173097
2020	AR	m	26-35	2000	0	662.6375118896365	57.982361781876534
2020	AR	m	26-35	2500	600	3491.053116456568	324.4591582636349
2020	AR	m	36-45	300	0	1517.4308078570664	136.79485963564366
2020	AR	m	36-45	500	0	499.74075980857015	46.8726722127758
2020	AR	m	36-45	1000	0	329.98380138352513	NA
2020	AR	m	36-45	1500	400	1188.2090413746237	102.1722720474936
2020	AR	m	36-45	2000	0	716.632240081206	65.15127326641232
2020	AR	m	36-45	2500	600	3181.1721216450633	282.56605463149026
2020	AR	m	36-45	300	0	1600.130963260606	139.57202807813883
2020	AR	m	36-45	500	0	626.8158152047545	53.17622947366908
2020	AR	m	36-45	1000	0	334.7200083453208	NA
2020	AR	m	36-45	1500	400	1277.5569409789146	119.31563332676888
2020	AR	m	36-45	2000	0	959.7948789242655	85.89440675964579
2020	AR	m	36-45	2500	600	2678.3148041109	244.51802347321063
2020	AR	m	46-55	300	0	2167.6657023890316	186.7969757374376
2020	AR	m	46-55	500	0	725.6750571560115	64.21112991636619
2020	AR	m	46-55	1000	0	487.7365345414728	NA
2020	AR	m	46-55	1500	400	1488.1636944746226	124.55348119605333
2020	AR	m	46-55	2000	0	734.933054652065	65.7755031529814
2020	AR	m	46-55	2500	600	2127.6409463851155	189.4935511960648
2020	AR	m	46-55	300	0	2962.33276448451	262.57277482701465
2020	AR	m	46-55	500	0	487.8911342192441	41.03090121457353
2020	AR	m	46-55	1000	0	512.5556154903024	46.20834562461823
2020	AR	m	46-55	1500	400	1529.3018469523638	138.04118963284418
2020	AR	m	46-55	2000	0	625.3466050699353	52.380122259259224
2020	AR	m	46-55	2500	600	2760.407370101735	243.975497958716
2020	AR	m	56-65	300	0	3721.3105068720133	326.5469365711324
2020	AR	m	56-65	500	0	922.6479730419815	80.88819077285007
2020	AR	m	56-65	1000	0	656.199108151719	55.93757122894749
2020	AR	m	56-65	1500	400	1391.1641715895385	119.70895900856704
2020	AR	m	56-65	2000	0	622.1638253275305	53.019458355382085
2020	AR	m	56-65	2500	600	1851.1707853083312	155.6053787181154
2020	AR	m	56-65	300	0	3308.5251748625933	279.7032169229351
2020	AR	m	56-65	500	0	1031.7076594503224	88.12562545016408
2020	AR	m	56-65	1000	0	651.6352501545847	59.40399116836488
2020	AR	m	56-65	1500	400	899.6786656484007	76.46203469624743
2020	AR	m	56-65	2000	0	406.5673432108015	NA
2020	AR	m	56-65	2500	600	1463.4929533860832	119.97114999545738
2020	AR	m	66-75	300	0	3517.3333222351966	300.52048197342083
2020	AR	m	66-75	500	0	860.5793426270783	72.07990298885852
2020	AR	m	66-75	1000	0	436.6263206452131	NA
2020	AR	m	66-75	1500	400	632.8069894406945	52.548263903707266
2020	AR	m	66-75	2000	0	248.75528339855373	NA
2020	AR	m	66-75	2500	600	873.2657824590802	72.46660573128611
2020	AR	m	66-75	300	0	3738.976991349459	323.341345007997
2020	AR	m	66-75	500	0	878.9045217836648	70.16983783384785
2020	AR	m	66-75	1000	0	245.8454689141363	NA
2020	AR	m	66-75	1500	400	352.4056839644909	NA
2020	AR	m	66-75	2000	0	116.52261559478939	NA
2020	AR	m	66-75	2500	600	412.04065895453095	NA
2020	AR	m	76-	300	0	2875.022406111285	246.24756638566032
2020	AR	m	76-	500	0	473.6305707348883	44.84271229803562
2020	AR	m	76-	1000	0	153.0681010682136	NA
2020	AR	m	76-	1500	400	202.26108817756176	NA
2020	AR	m	76-	2000	0	87.90417809143662	NA
2020	AR	m	76-	2500	600	267.15313087776303	NA
2020	AR	m	76-	300	0	3014.7875442014633	271.68327197711915
2020	AR	m	76-	500	0	418.4429201236367	NA
2020	AR	m	76-	1000	0	46.47922427393496	NA
2020	AR	m	76-	1500	400	157.65938895195723	NA
2020	AR	m	76-	2000	0	71.94168293662369	NA
2020	AR	m	76-	2500	600	67.1254461441934	NA
2020	AR	m	76-	300	0	580.2149397446215	54.835971099324524
2020	AR	m	76-	500	0	82.70477883771062	NA
2020	AR	m	76-	1000	0	51.75944543816149	NA
2020	AR	m	76-	1500	400	25.48829566128552	NA
2020	AR	w	0-18	0	200	157.59167423658073	NA
2020	AR	w	0-18	300	0	18719.51433643162	1649.4676941190846
2020	AR	w	0-18	1500	400	87.04576312378049	NA
2020	AR	w	0-18	2500	600	254.00758968755605	NA
2020	AR	w	19-25	300	0	3550.987454027757	335.89638954773545
2020	AR	w	19-25	500	0	333.44765276648104	NA
2020	AR	w	19-25	1000	0	264.96924762427807	NA
2020	AR	w	19-25	1500	400	651.3921527080238	58.70986280683428
2020	AR	w	19-25	2000	0	334.4892723682523	NA
2020	AR	w	19-25	2500	600	2181.551518939808	198.88675659522414
2020	AR	w	26-35	300	0	2485.477801350579	241.70470457850024
2020	AR	w	26-35	500	0	144.27566619232297	NA
2020	AR	w	26-35	1000	0	339.5104222998023	NA
2020	AR	w	26-35	1500	400	498.1273663658649	46.29051096923649
2020	AR	w	26-35	2000	0	494.4217455610633	47.3634762596339
2020	AR	w	26-35	2500	600	2432.511659746021	235.49247365165502
2020	AR	w	26-35	300	0	2625.461741307825	243.24125929223374
2020	AR	w	26-35	500	0	455.3223187942058	45.96065601008013
2020	AR	w	26-35	1000	0	387.6234090756625	NA
2020	AR	w	26-35	1500	400	835.8570100001245	77.31789678242058
2020	AR	w	26-35	2000	0	451.49033596366644	NA
2020	AR	w	26-35	2500	600	2754.6903225810825	250.75168277788907
2020	AR	w	36-45	300	0	2201.5232527406515	191.04179507354274
2020	AR	w	36-45	500	0	673.6591066874564	61.923895011655986
2020	AR	w	36-45	1000	0	645.3677452988923	54.716103048063815
